State,County,cooling system type,climate zone,PUE mean
Alabama,Jackson County,5,,
Alabama,Jackson County,6,,
Alabama,Jackson County,7,,
Alabama,Jackson County,8,,
Alabama,Jackson County,9,,
Alabama,Jackson County,10,,
Alabama,Jackson County,11,,
Alabama,Jackson County,12,,
Alabama,Jackson County,13,,
Alabama,Jackson County,14,,
Alabama,Jefferson County,1,,
Alabama,Jefferson County,2,,
Alabama,Jefferson County,3,,
Alabama,Jefferson County,4,,
Alabama,Jefferson County,5,,
Alabama,Jefferson County,6,,
Alabama,Jefferson County,7,,
Alabama,Jefferson County,8,,
Alabama,Jefferson County,9,,
Alabama,Jefferson County,10,,
Alabama,Jefferson County,11,,
Alabama,Jefferson County,12,,
Alabama,Jefferson County,13,,
Alabama,Jefferson County,14,,
Alabama,Lamar County,1,,
Alabama,Lamar County,2,,
Alabama,Lamar County,3,,
Alabama,Lamar County,4,,
Alabama,Lamar County,5,,
Alabama,Lamar County,6,,
Alabama,Lamar County,7,,
Alabama,Lamar County,8,,
Alabama,Lamar County,9,,
Alabama,Lamar County,10,,
Alabama,Lamar County,11,,
Alabama,Lamar County,12,,
Alabama,Lamar County,13,,
Alabama,Lamar County,14,,
Alabama,Lauderdale County,1,,
Alabama,Lauderdale County,2,,
Alabama,Lauderdale County,3,,
Alabama,Lauderdale County,4,,
Alabama,Lauderdale County,5,,
Alabama,Lauderdale County,6,,
Alabama,Lauderdale County,7,,
Alabama,Lauderdale County,8,,
Alabama,Lauderdale County,9,,
Alabama,Lauderdale County,10,,
Alabama,Lauderdale County,11,,
Alabama,Lauderdale County,12,,
Alabama,Lauderdale County,13,,
Alabama,Lauderdale County,14,,
Alabama,Lawrence County,1,,
Alabama,Lawrence County,2,,
Alabama,Lawrence County,3,,
Alabama,Lawrence County,4,,
Alabama,Lawrence County,5,,
Alabama,Lawrence County,6,,
Alabama,Lawrence County,7,,
Alabama,Lawrence County,8,,
Alabama,Lawrence County,9,,
Alabama,Lawrence County,10,,
Alabama,Lawrence County,11,,
Alabama,Lawrence County,12,,
Alabama,Lawrence County,13,,
Alabama,Lawrence County,14,,
Alabama,Lee County,1,,
Alabama,Lee County,2,,
Alabama,Lee County,3,,
Alabama,Lee County,4,,
Alabama,Lee County,5,,
Alabama,Lee County,6,,
Alabama,Lee County,7,,
Alabama,Lee County,8,,
Alabama,Lee County,9,,
Alabama,Lee County,10,,
Alabama,Lee County,11,,
Alabama,Lee County,12,,
Alabama,Lee County,13,,
Alabama,Lee County,14,,
Alabama,Limestone County,1,,
Alabama,Limestone County,2,,
Alabama,Limestone County,3,,
Alabama,Limestone County,4,,
Alabama,Limestone County,5,,
Alabama,Limestone County,6,,
Alabama,Limestone County,7,,
Alabama,Limestone County,8,,
Alabama,Limestone County,9,,
Alabama,Limestone County,10,,
Alabama,Limestone County,11,,
Alabama,Limestone County,12,,
Alabama,Limestone County,13,,
Alabama,Limestone County,14,,
Alabama,Lowndes County,1,,
Alabama,Lowndes County,2,,
Alabama,Lowndes County,3,,
Alabama,Lowndes County,4,,
Alabama,Lowndes County,5,,
Alabama,Lowndes County,6,,
Alabama,Lowndes County,7,,
Alabama,Lowndes County,8,,
Alabama,Lowndes County,9,,
Alabama,Lowndes County,10,,
Alabama,Lowndes County,11,,
Alabama,Lowndes County,12,,
Alabama,Lowndes County,13,,
Alabama,Lowndes County,14,,
Alabama,Macon County,1,,
Alabama,Macon County,2,,
Alabama,Macon County,3,,
Alabama,Macon County,4,,
Alabama,Macon County,5,,
Alabama,Macon County,6,,
Alabama,Macon County,7,,
Alabama,Macon County,8,,
Alabama,Macon County,9,,
Alabama,Macon County,10,,
Alabama,Macon County,11,,
Alabama,Macon County,12,,
Alabama,Macon County,13,,
Alabama,Macon County,14,,
Alabama,Madison County,1,,
Alabama,Madison County,2,,
Alabama,Madison County,3,,
Alabama,Madison County,4,,
Alabama,Madison County,5,,
Alabama,Madison County,6,,
Alabama,Madison County,7,,
Alabama,Madison County,8,,
Alabama,Madison County,9,,
Alabama,Madison County,10,,
Alabama,Madison County,11,,
Alabama,Madison County,12,,
Alabama,Madison County,13,,
Alabama,Madison County,14,,
Alabama,Marengo County,1,,
Alabama,Marengo County,2,,
Alabama,Marengo County,3,,
Alabama,Marengo County,4,,
Alabama,Marengo County,5,,
Alabama,Marengo County,6,,
Alabama,Marengo County,7,,
Alabama,Marengo County,8,,
Alabama,Marengo County,9,,
Alabama,Marengo County,10,,
Alabama,Marengo County,11,,
Alabama,Marengo County,12,,
Alabama,Marengo County,13,,
Alabama,Marengo County,14,,
Alabama,Marion County,1,,
Alabama,Marion County,2,,
