State,County,cooling system type,climate zone,PUE mean,WR_CaseB_DWSF_L_per_kWh,WR_SWI_L_per_kWh
Alabama,Colbert County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Colbert County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Colbert County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Colbert County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Conecuh County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Conecuh County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Conecuh County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Conecuh County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Conecuh County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Conecuh County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Conecuh County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Conecuh County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Conecuh County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Conecuh County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Conecuh County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Conecuh County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Conecuh County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Conecuh County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Coosa County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Coosa County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Coosa County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Coosa County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Coosa County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Coosa County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Coosa County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Coosa County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Coosa County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Coosa County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Coosa County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Coosa County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Coosa County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Coosa County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Covington County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Covington County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Covington County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Covington County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Covington County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Covington County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Covington County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Covington County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Covington County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Covington County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Covington County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Covington County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Covington County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Covington County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Crenshaw County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Crenshaw County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Crenshaw County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Crenshaw County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Crenshaw County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Crenshaw County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Crenshaw County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Crenshaw County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Crenshaw County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Crenshaw County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Crenshaw County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Crenshaw County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Crenshaw County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Crenshaw County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Cullman County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Cullman County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Cullman County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Cullman County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Cullman County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Cullman County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Cullman County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Cullman County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Cullman County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Cullman County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Cullman County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Cullman County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Cullman County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Cullman County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Dale County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Dale County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Dale County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Dale County,4,3A,1.4143,-7.41320326,0.687173942
