State,County,cooling system type,climate zone,PUE mean
Alabama,Covington County,1,3A,1.1968
Alabama,Covington County,2,3A,1.15765
Alabama,Covington County,3,3A,1.53995
Alabama,Covington County,4,3A,1.4143
Alabama,Covington County,5,3A,1.63775
Alabama,Covington County,6,3A,1.62605
Alabama,Covington County,7,3A,1.8597
Alabama,Covington County,8,3A,1.87095
Alabama,Covington County,9,3A,2.0324
Alabama,Covington County,10,3A,2.1448
Alabama,Covington County,11,3A,1.2664
Alabama,Covington County,12,3A,1.4528
Alabama,Covington County,13,3A,1.37885
Alabama,Covington County,14,3A,1.60905
Alabama,Crenshaw County,1,3A,1.1968
Alabama,Crenshaw County,2,3A,1.15765
Alabama,Crenshaw County,3,3A,1.53995
Alabama,Crenshaw County,4,3A,1.4143
Alabama,Crenshaw County,5,3A,1.63775
Alabama,Crenshaw County,6,3A,1.62605
Alabama,Crenshaw County,7,3A,1.8597
Alabama,Crenshaw County,8,3A,1.87095
Alabama,Crenshaw County,9,3A,2.0324
Alabama,Crenshaw County,10,3A,2.1448
Alabama,Crenshaw County,11,3A,1.2664
Alabama,Crenshaw County,12,3A,1.4528
Alabama,Crenshaw County,13,3A,1.37885
Alabama,Crenshaw County,14,3A,1.60905
Alabama,Cullman County,1,3A,1.1968
Alabama,Cullman County,2,3A,1.15765
Alabama,Cullman County,3,3A,1.53995
Alabama,Cullman County,4,3A,1.4143
Alabama,Cullman County,5,3A,1.63775
Alabama,Cullman County,6,3A,1.62605
Alabama,Cullman County,7,3A,1.8597
Alabama,Cullman County,8,3A,1.87095
Alabama,Cullman County,9,3A,2.0324
Alabama,Cullman County,10,3A,2.1448
Alabama,Cullman County,11,3A,1.2664
Alabama,Cullman County,12,3A,1.4528
Alabama,Cullman County,13,3A,1.37885
Alabama,Cullman County,14,3A,1.60905
Alabama,Dale County,1,3A,1.1968
Alabama,Dale County,2,3A,1.15765
Alabama,Dale County,3,3A,1.53995
Alabama,Dale County,4,3A,1.4143
Alabama,Dale County,5,3A,1.63775
Alabama,Dale County,6,3A,1.62605
Alabama,Dale County,7,3A,1.8597
Alabama,Dale County,8,3A,1.87095
Alabama,Dale County,9,3A,2.0324
Alabama,Dale County,10,3A,2.1448
Alabama,Dale County,11,3A,1.2664
Alabama,Dale County,12,3A,1.4528
Alabama,Dale County,13,3A,1.37885
Alabama,Dale County,14,3A,1.60905
Alabama,Dallas County,1,3A,1.1968
Alabama,Dallas County,2,3A,1.15765
Alabama,Dallas County,3,3A,1.53995
Alabama,Dallas County,4,3A,1.4143
Alabama,Dallas County,5,3A,1.63775
Alabama,Dallas County,6,3A,1.62605
Alabama,Dallas County,7,3A,1.8597
Alabama,Dallas County,8,3A,1.87095
Alabama,Dallas County,9,3A,2.0324
Alabama,Dallas County,10,3A,2.1448
Alabama,Dallas County,11,3A,1.2664
Alabama,Dallas County,12,3A,1.4528
Alabama,Dallas County,13,3A,1.37885
Alabama,Dallas County,14,3A,1.60905
Alabama,DeKalb County,1,3A,1.1968
Alabama,DeKalb County,2,3A,1.15765
Alabama,DeKalb County,3,3A,1.53995
Alabama,DeKalb County,4,3A,1.4143
Alabama,DeKalb County,5,3A,1.63775
Alabama,DeKalb County,6,3A,1.62605
Alabama,DeKalb County,7,3A,1.8597
Alabama,DeKalb County,8,3A,1.87095
Alabama,DeKalb County,9,3A,2.0324
Alabama,DeKalb County,10,3A,2.1448
Alabama,DeKalb County,11,3A,1.2664
Alabama,DeKalb County,12,3A,1.4528
Alabama,DeKalb County,13,3A,1.37885
Alabama,DeKalb County,14,3A,1.60905
Alabama,Elmore County,1,3A,1.1968
Alabama,Elmore County,2,3A,1.15765
Alabama,Elmore County,3,3A,1.53995
Alabama,Elmore County,4,3A,1.4143
Alabama,Elmore County,5,3A,1.63775
Alabama,Elmore County,6,3A,1.62605
Alabama,Elmore County,7,3A,1.8597
Alabama,Elmore County,8,3A,1.87095
Alabama,Elmore County,9,3A,2.0324
Alabama,Elmore County,10,3A,2.1448
Alabama,Elmore County,11,3A,1.2664
Alabama,Elmore County,12,3A,1.4528
Alabama,Elmore County,13,3A,1.37885
Alabama,Elmore County,14,3A,1.60905
Alabama,Escambia County,1,3A,1.1968
Alabama,Escambia County,2,3A,1.15765
Alabama,Escambia County,3,3A,1.53995
Alabama,Escambia County,4,3A,1.4143
Alabama,Escambia County,5,3A,1.63775
Alabama,Escambia County,6,3A,1.62605
Alabama,Escambia County,7,3A,1.8597
Alabama,Escambia County,8,3A,1.87095
Alabama,Escambia County,9,3A,2.0324
Alabama,Escambia County,10,3A,2.1448
Alabama,Escambia County,11,3A,1.2664
Alabama,Escambia County,12,3A,1.4528
Alabama,Escambia County,13,3A,1.37885
Alabama,Escambia County,14,3A,1.60905
Alabama,Etowah County,1,3A,1.1968
Alabama,Etowah County,2,3A,1.15765
